iso2c;date;indicator;value;description;freq;source;topic
BG;1991-02-01;FPOLM_PA;NA;Policy rate;M;IMF-IFS;Interst rates
BG;1997-01-01;FPOLM_PA;NA;Policy rate;M;IMF-IFS;Interst rates
BG;1997-07-01;FPOLM_PA;NA;Policy rate;M;IMF-IFS;Interst rates
BG;2005-02-01;FPOLM_PA;1,89000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-03-01;FPOLM_PA;1,91000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-04-01;FPOLM_PA;1,95000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-05-01;FPOLM_PA;2,03000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-06-01;FPOLM_PA;2,06000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-07-01;FPOLM_PA;2,04000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-08-01;FPOLM_PA;2,04000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-09-01;FPOLM_PA;2,04000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-10-01;FPOLM_PA;2,04000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-11-01;FPOLM_PA;2,04000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2005-12-01;FPOLM_PA;2,05000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-01-01;FPOLM_PA;2,21000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-02-01;FPOLM_PA;2,25000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-03-01;FPOLM_PA;2,28000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-04-01;FPOLM_PA;2,48000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-05-01;FPOLM_PA;2,57000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-06-01;FPOLM_PA;2,56000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-07-01;FPOLM_PA;2,69000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-08-01;FPOLM_PA;2,80000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-09-01;FPOLM_PA;2,94000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-10-01;FPOLM_PA;2,98000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-11-01;FPOLM_PA;3,19000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2006-12-01;FPOLM_PA;3,26000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-01-01;FPOLM_PA;3,43000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-02-01;FPOLM_PA;3,53000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-03-01;FPOLM_PA;3,52000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-04-01;FPOLM_PA;3,68000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-05-01;FPOLM_PA;3,81000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-06-01;FPOLM_PA;3,84000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-07-01;FPOLM_PA;4,01000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-08-01;FPOLM_PA;4,10000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-09-01;FPOLM_PA;4,09000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-10-01;FPOLM_PA;4,24000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-11-01;FPOLM_PA;4,26000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2007-12-01;FPOLM_PA;4,58000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-01-01;FPOLM_PA;4,68000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-02-01;FPOLM_PA;4,75000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-03-01;FPOLM_PA;4,83000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-04-01;FPOLM_PA;4,85000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-05-01;FPOLM_PA;4,93000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-06-01;FPOLM_PA;4,96000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-07-01;FPOLM_PA;5,06000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-08-01;FPOLM_PA;5,25000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-09-01;FPOLM_PA;5,23000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-10-01;FPOLM_PA;5,38000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-11-01;FPOLM_PA;5,72000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2008-12-01;FPOLM_PA;5,77000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-01-01;FPOLM_PA;5,17000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-02-01;FPOLM_PA;3,92000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-03-01;FPOLM_PA;3,49000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-04-01;FPOLM_PA;3,53000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-05-01;FPOLM_PA;2,27000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-06-01;FPOLM_PA;2,35000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-07-01;FPOLM_PA;2,24000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-08-01;FPOLM_PA;1,71000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-09-01;FPOLM_PA;1,57000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-10-01;FPOLM_PA;1,46000000000000e+00;Policy rate;M;IMF-IFS;Interst rates
BG;2009-11-01;FPOLM_PA;6,10000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2009-12-01;FPOLM_PA;5,50000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-01-01;FPOLM_PA;3,90000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-02-01;FPOLM_PA;2,40000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-03-01;FPOLM_PA;1,80000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-04-01;FPOLM_PA;1,70000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-05-01;FPOLM_PA;1,80000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-06-01;FPOLM_PA;2,00000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-07-01;FPOLM_PA;1,80000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
BG;2010-08-01;FPOLM_PA;1,70000000000000e-01;Policy rate;M;IMF-IFS;Interst rates
